GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Average_Testing,com.ooad.rasika.Average_Testing,Average,31,0,4,0,8,0,4,0,2,0
Average_Testing,com.ooad.rasika.Average_Testing,App,42,0,0,0,6,0,2,0,2,0
